"","ADFG_Station","Latitude","Longitude","NMFS_Station","Area_Nm2","ADFG_tier","NOAA_tier","CPT_STD","1976_NOAA","1979_NOAA","1982_NOAA","1985_NOAA","1988_NOAA","1991_NOAA","1996_ADFG","1999_ADFG","2002_ADFG","2006_ADFG","2008_ADFG","2010_NBS","2011_ADFG","2014_ADFG","2017_ADFG","2017_NBS","2018_ADFG","2019_ADFG","2019_NBS","2020_ADFG","2021_ADFG","2021_NBS","2022_NBS","2023_ADFG","2023_NBS"
"83",131,64,-165.3485,"G12",100,"c","S","S",76750.8548925952,8101.47912755171,426116.759306291,15885.2531912779,7501.36956254788,372006.694632477,11087.7907767587,0,11684.825664738,45570.8200924784,30380.5467283189,292409.470172699,30380.5467283189,15190.2733641595,30380.5467283189,148283.640388772,15190.2733641595,15190.2733641595,650801.167976501,288615.19391903,15190.2733641595,69820.1484100422,163715.561086605,106331.913549116,32598.0020847996
"84",132,64,-165.727,"G13",100,"c","S","S",189878.417051993,8101.47912755171,15989.7614359573,16202.9582551034,7409.88944593144,53165.9567745581,57538.9142581798,15190.2733641595,131649.035822715,167093.007005754,45570.8200924784,NA,136712.460277435,349376.287375668,30380.5467283189,NA,60761.0934566378,592420.661202219,NA,75951.3668207973,15190.2733641595,NA,NA,136712.460277435,NA
"85",133,64,-166.1055,"G14",100,"c","S","S",81014.7912755171,85780.3672329005,186334.019933689,57090.9602948275,39974.4035898933,8155.85147068964,50634.2445471982,0,NA,15190.2733641595,15190.2733641595,31688.2319894026,0,91141.6401849568,258234.647190711,181874.848888942,15190.2733641595,273424.92055487,164641.14816501,30380.5467283189,0,284840.289187987,450884.039033905,60761.0934566378,583077.393119769
"86",134,64,-166.484,"G15",100,"c","S","S",0,20253.6978188793,15480.5333647485,52835.7334405546,7994.88071797866,26806.3647602814,0,0,10850.1952601139,13809.3394219631,0,NA,0,0,0,NA,0,0,NA,15190.2733641595,0,NA,NA,0,NA
"87",135,64,-166.8625,"G16",100,"O","S","S",NA,NA,NA,0,0,NA,0,0,10850.1952601139,15190.2733641595,0,30405.0468579017,0,0,0,171277.28031349,NA,NA,460463.012033566,NA,NA,31998.5825195447,0,NA,57681.3435176326
"88",136,64,-167.241,"G17",225,"ONS","O","O",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",137,64,-167.6193333,"G18/N137",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,35391.1205114039,NA,NA,0,NA,NA,0,0,NA,0
"90",139,64.019,-168.3145833,"G20",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"91",147,64.16666667,-161.1625,"H01",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30380.5467283189,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",148,64.16666667,-161.5431667,"H02",100,"t2","S","S",6395.90457438293,0,8266.81543627726,8155.85147068964,0,NA,NA,NA,21700.3905202278,45570.8200924784,15190.2733641595,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA
