Spcode,Name,Cname,Genus,Taxon,Taxon2,Taxon3,Ecotype ,Taxon2_u
66515,Crangon communis,twospine crangon,Crangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66530,Crangon dalli,ridged crangon,Crangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66548,Crangon septemspinosa,sevenspine bay shrimp,Crangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66570,Argis sp.,None,Argis,Shrimp_A,Shrimp,Invertebrate,Detribor,Shrimp
66580,Argis dentata,Arctic argid,Argis,Shrimp_A,Shrimp,Invertebrate,Detribor,Shrimp
66600,Sclerocrangon sp.,None,Sclerocrangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66601,Sclerocrangon boreas,sculptured shrimp,Sclerocrangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66602,Rhynocrangon alata,saddleback shrimp,Rhynocrangon,Shrimp_O,Shrimp,Invertebrate,Detribor,Shrimp
66611,Argis lar,kuro argid,Argis,Shrimp_A,Shrimp,Invertebrate,Detribor,Shrimp
66612,Argis crassa,rough argid,Argis,Shrimp_A,Shrimp,Invertebrate,Detribor,Shrimp
66614,Argis ovifer,split-eye argid,Argis,Shrimp_A,Shrimp,Invertebrate,Detribor,Shrimp
68000,Anormura,Unidentified crab,Anormura,Crab_O,Crab,Invertebrate,Detribor,Crab_O
68510,Oregonia gracilis,graceful decorator crab,Oregonia,Crab_O,Crab,Invertebrate,Detribor,Crab_O
68560,Chionoecetes bairdi,Tanner crab(bairdi)),Chionoecetes,Crab_C,Crab,Invertebrate,Detribor,Crab_O
68577,Hyas coarctatus  (=Hyas coarctatus aleuticus),circumboreal toad crab (=hyas crab (round spined)),Hyas,Crab_H,Crab,Invertebrate,Detribor,Crab_O
68578,Hyas lyratus,Pacific lyre crab,Hyas,Crab_H,Crab,Invertebrate,Detribor,Crab_O
68580,Chionoecetes opilio,narrow snow crab(=tanner crab(opilio)),Chionoecetes,Crab_C,Crab,Invertebrate,Detribor,Crab_O
68590,Chionoecetes hybrid,tanner crab (hybrid),Chionoecetes,Crab_C,Crab,Invertebrate,Detribor,Crab_O
68781,Telmessus cheiragonus,helmet crab,Telmessus,Crab_T,Crab,Invertebrate,Detribor,Crab_O
69000,Anomura,None,Anomura,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69010,Paguridae,hermit crab unident,Paguridae,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69035,Pagurus sp.,None,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69042,Pagurus brandti,sponge hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69060,Pagurus aleuticus,Aleutian hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69061,Labidochirus splendescens (=Pagurus splendescens),splendid hermit,Labidochirus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69065,Pagurus alaskensis(=69090 Pagurus ochotensis),None,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69070,Pagurus confragosus,Pagurus confragosus,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69080,Pagurus cornutus,None,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69082,Pagurus dalli,whiteknee hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69085,Pagurus kennerlyi,bluespine hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69086,Pagurus trigonocheirus,fuzzy hermit crab,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69090,Pagurus ochotensis,Alaskan hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69095,Pagurus rathbuni,longfinger hermit,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
69120,Pagurus capillatus,hairy hermit crab,Pagurus,Hermit_C,Invertebrate,Invertebrate,Detribor,Hermit_C
