# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
21404,Nautichthys sp.,Nautichthys sp.,Nautichthys sp.,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21405,utichthys pribilovius,eyeshade sculpin,utichthys,High,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling
21407,Nautichthys robustus,Shortmast Sculpin,utichthys,,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling
21415,Rhamphocottus richardsoni,grunt sculpin,,,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling
21423,Eurymen gyrinus,smoothcheek sculpin,utichthys,High,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling
21438,Icelus spiniger,thorny sculpin,Lcelus,High,Sculpn_N,Sculpin,vertebrate,Bottom-dwelling
21441,Icelus spatula,Spatulate Sculpin,,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21444,Rastrinus scutiger,Roughskin Sculpin,,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21446,Icelus sp.,None,Lcelus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21592,Trichodon trichodon,Pacific Sandfish,,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21720,Gadus macrocephalus,Pacific cod,Gadus,High,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21721,Gadus macrocephalus,Pacific cod (juvenile),Gadus,,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21722,Gadus macrocephalus,Pacific cod (adult),Gadus,,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21725,Boreogadus saida,Arctic cod,Boreogadus,Moderate,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21735,Eleginus gracilis,saffron cod,Eleginus,High,Gadids_E,Gadids,vertebrate,Bottom-dwelling
21740,Theragra chalcogramma,walleye pollock,Theragra,High,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21741,Theragra chalcogramma,walleye pollock (juvenile),Theragra,,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21742,Theragra chalcogramma,walleye pollock (adult),Theragra,,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21752,Gasterosteus aculeatus,Threespine Stickleback,,High,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21753,Pungitius pungitius,ninespine stickleback,Pungitius,High,Gadids_O,Gadids,vertebrate,Bottom-dwelling
21900,Hexagrammidae,greenling unidentNone,Hexagrammidae,High,Greeling,Greeling,vertebrate,Bottom-dwelling
21910,Ophiodon elongatus,lingcod,Ophiodon,,Greeling,Greeling,vertebrate,Bottom-dwelling
21915,Oxylebius pictus,painted greenling,Oxylebius ,,Greeling,Greeling,vertebrate,Bottom-dwelling
21921,Pleurogrammus monopterygius,Atka mackerel,Pleurogrammus,High,Greeling,Greeling,vertebrate,Bottom-dwelling
21930,Hexagrammos sp.,None,Hexagrammos,,Greeling,Greeling,vertebrate,Bottom-dwelling
21931,Hexagrammos octogrammus,masked greenling,Hexagrammos,,Greeling,Greeling,vertebrate,Bottom-dwelling
21932,Hexagrammos stelleri,whitespotted greenling,Hexagrammos,High,Greeling,Greeling,vertebrate,Bottom-dwelling
21934,Hexagrammos lagocephalus,rock greenling,Hexagrammos,,Greeling,Greeling,vertebrate,Bottom-dwelling
21935,Hexagrammos decagrammus,kelp greenling,Hexagrammos,,Greeling,Greeling,vertebrate,Bottom-dwelling
21936,Zaniolepis latipinnis,longspine combfish,Zaniolepis ,,Greeling,Greeling,vertebrate,Bottom-dwelling
21937,Icosteus aenigmaticus,ragfish,Icosteus,,Greeling,Greeling,vertebrate,Bottom-dwelling
22178,Eumicrotremus orbis,Pacific spiny lumpsucker,Eumicrotremus,High,Lumpsucker,bottom_f,vertebrate,Bottom-dwelling
22182,Eumicrotremus andriashevi,Pimpled Lumpsucker,,Low,Lumpsucker,bottom_f,vertebrate,Bottom-dwelling
22183,Eumicrotremus,Spiny Lumpsuckers,,Low,Lumpsucker,bottom_f,vertebrate,Bottom-dwelling
22200,Cyclopteridae (Liparidie),silfish unidentNone,Cyclopteridae,High,Silfish,bottom_f,vertebrate,Bottom-dwelling
22201,Liparis sp.,Silfish unidentified,Liparis,High,Silfish,bottom_f,vertebrate,Bottom-dwelling
22205,Liparis gibbus (=Liparis cyclostigma),dusky silfish (prevNone variegated silfish),Liparis,High,Silfish,bottom_f,vertebrate,Bottom-dwelling
22208,Liparis pulchellus,Showy Snailfish,,,Silfish,bottom_f,vertebrate,Bottom-dwelling
22213,Liparis rutteri,ringtail silfish,Liparis,,Silfish,bottom_f,vertebrate,Bottom-dwelling
22226,Careproctus phasma,Monster Silfish,,Low,Silfish,bottom_f,vertebrate,Bottom-dwelling
22232,Careproctus scottae,Peachskin Silfish,,Low,Silfish,bottom_f,vertebrate,Bottom-dwelling
22236,Careproctus rastrinus,Salmon Silfish,,High,Silfish,bottom_f,vertebrate,Bottom-dwelling
22238,Liparis tunicatus,Kelp Silfish,,Low,Silfish,bottom_f,vertebrate,Bottom-dwelling
22254,Liparis bathyarcticus,Nebulous Snailfish,,,Silfish,bottom_f,vertebrate,Bottom-dwelling
22258,Careproctus lerikimae,Dusty Snailfish,,,Silfish,bottom_f,vertebrate,Bottom-dwelling
22265,Liparis marmoratus,Festive Snailfish,,,Silfish,bottom_f,vertebrate,Bottom-dwelling
23010,Thaleichthys pacificus,Eulachon,,High,Silfish,bottom_f,vertebrate,Bottom-dwelling
23041,Mallotus villosus,capelin,Mallotus,High,Smelt,swim_f,vertebrate,Swimmer
