# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
75205,Tellina lutea,Alaska Great-Tellin,,Moderate,Bivalves,Bivalves,Invertebrate,Filter-feeder
75240,Macoma sp.,None,Macoma,Moderate,Bivalves,Bivalves,Invertebrate,Filter-feeder
75241,Macoma suta,bent-nose macoma (prevNone common macoma),Macoma,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75242,Macoma calcarea,chalky macoma,Macoma,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75247,Macoma brota,heavy macoma,Macoma,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75248,Macoma inquinata,Pointed Macoma,,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75264,Macoma calcarea,Chalky Macoma,,High,Bivalves,Bivalves,Invertebrate,Filter-feeder
75266,Siliqua,Siliqua,,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75267,Siliqua alta,Alaska razor   (prevNone northern razor clam),Siliqua,High,Bivalves,Bivalves,Invertebrate,Filter-feeder
75284,Serripes sp.,None,Serripes,High,Bivalves,Bivalves,Invertebrate,Filter-feeder
75285,Serripes groenlandicus,Greenland cockle,Serripes,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75286,Serripes laperousii,broad cockle,Serripes,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75287,Serripes notabilis,Oblique Smoothcockle,,Moderate,Bivalves,Bivalves,Invertebrate,Filter-feeder
75330,Mya sp.,None,Mya,Low,Bivalves,Bivalves,Invertebrate,Filter-feeder
75331,Mya baxteri,Mya Baxteri,,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75332,Mya areria,softshell  (prevNone soft shelled clam),Mya,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75333,Mya truncata,Macoma clam,Mya,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75335,Mya pseudoareria,false softshell,Mya,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75336,Mya elegans,elegant soft shell,Mya,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75372,Xylophaga californica,None,Xylophaga ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75381,Bankia sp.,Shipworm unidentNone,Bankia ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75382,Bankia setacea,feathery shipworm,Bankia ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75410,Lyonsia arenosa,sandy lyonsia,Lyonsia,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75551,Cardiomya sp.,None,Cardiomya ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75600,Pododesmus macroschisma,Alaska falsejingle  (prevNone rock jingle),Pododesmus ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75609,Anomia sp.,None,Anomia ,,Bivalves,Bivalves,Invertebrate,Filter-feeder
75610,Anomiidae,falsejingles unidentNone(prevNonerock jingles unidentNone),Anomiidae,,Bivalves,Bivalves,Invertebrate,Filter-feeder
77000,Scaphopoda,scaphopod unidentNone,Scaphopoda,,Univalve,Invertebrate,Invertebrate,Filter-feeder
77011,Dentalium sp.,None,Dentalium ,,Univalve,Invertebrate,Invertebrate,Filter-feeder
77012,Rhabdus dalli (=Dentalium dalli),Dall tuskshell,Rhabdus,,Univalve,Invertebrate,Invertebrate,Filter-feeder
78000,Cepalopoda,cephalopod unidentNone,Cepalopoda,,Cepalopoda,Invertebrate,Invertebrate,Swimmer
78001,Sepiida,cuttlefish unidentNone,Sepiida,,Cuttlefish,Invertebrate,Invertebrate,Swimmer
78010,Octopodidae,octopus unidentNone,Octopodidae,,Octopus,Invertebrate,Invertebrate,Swimmer
78011,Octopodidae,pelagic octopus unidentNone,Octopodidae,,Octopus,Invertebrate,Invertebrate,Swimmer
78012,Octopus leioderma,smoothskin octopus,Octopus ,Low,Octopus,Invertebrate,Invertebrate,Swimmer
78013,Benthoctopus sibiricus,Benthoctopus Sibiricus,,,Octopus,Invertebrate,Invertebrate,Swimmer
78030,Opisthoteuthis california,flapjack devilfish,Octopus ,,Octopus,Invertebrate,Invertebrate,Swimmer
78403,Octopus dofleini,giant octopus,Octopus ,,Octopus,Invertebrate,Invertebrate,Swimmer
78452,Benthoctopus sp.,None,Benthoctopus,Low,Octopus,Invertebrate,Invertebrate,Swimmer
78454,Sasakiopus salebrosus,Pygmy Benthoctopus,,,Octopus,Invertebrate,Invertebrate,Swimmer
78502,Vampyroteuthis inferlis,None,Vampyroteuthis ,,Octopus,Invertebrate,Invertebrate,Swimmer
79000,Teuthida,squid unidentNone,.,,Squid,Invertebrate,Invertebrate,Swimmer
79001,Taningia dae,rhomboid squid,Taningia ,,Squid,Invertebrate,Invertebrate,Swimmer
79020,Rossia pacifica,eastern Pacific bobtail,Rossia ,,Squid,Invertebrate,Invertebrate,Swimmer
79120,Loligo opalescens,Loligo opalescens,Loligo ,,Squid,Invertebrate,Invertebrate,Swimmer
79200,Gotus sp.,None,Gotus ,,Squid,Invertebrate,Invertebrate,Swimmer
79201,Gotus onyx,clawed armhook squid,Gotus ,,Squid,Invertebrate,Invertebrate,Swimmer
79202,Gotus berry,Berry armhook squid,Gotus ,,Squid,Invertebrate,Invertebrate,Swimmer
79203,Gotus pyros,None,Gotus ,,Squid,Invertebrate,Invertebrate,Swimmer
79204,Gotus californiensis,None,Gotus ,,Squid,Invertebrate,Invertebrate,Swimmer
79210,Berryteuthis magister,magistrate armhook squid  (prevNone red squid),Berryteuthis,,Squid,Invertebrate,Invertebrate,Swimmer
79250,Gotopsis sp.,None,Gotopsis,,Squid,Invertebrate,Invertebrate,Swimmer
79252,Gotopsis borealis,None,Gotopsis,,Squid,Invertebrate,Invertebrate,Swimmer
79254,Gotopsis makko,None,Gotopsis,,Squid,Invertebrate,Invertebrate,Swimmer
79260,Ommastrephes bartrami,flying squid,Ommastrephes ,,Squid,Invertebrate,Invertebrate,Swimmer
79302,Moroteuthis robusta,robust clubhook squid,Moroteuthis ,,Squid,Invertebrate,Invertebrate,Swimmer
79310,Onychoteuthidae,None,Onychoteuthidae,,Squid,Invertebrate,Invertebrate,Swimmer
79311,Onychoteuthis banksi,None,Onychoteuthis ,,Squid,Invertebrate,Invertebrate,Swimmer
79312,Onychoteuthis borealijaponicus,boreal clubhook squid,Onychoteuthis ,,Squid,Invertebrate,Invertebrate,Swimmer
79351,Abraliopsis sp.,None,Abraliopsis,,Squid,Invertebrate,Invertebrate,Swimmer
79352,Abraliopsis felis,None,Abraliopsis,,Squid,Invertebrate,Invertebrate,Swimmer
79404,Chiroteuthis calyx,None,Chiroteuthis,,Squid,Invertebrate,Invertebrate,Swimmer
79442,Taonius pavo,None,Taonius,,Squid,Invertebrate,Invertebrate,Swimmer
79504,Octopoteuthis deletron,None,Octopoteuthis,,Squid,Invertebrate,Invertebrate,Swimmer
79510,Histioteuthis heteropsis,None,Histioteuthis,,Squid,Invertebrate,Invertebrate,Swimmer
79512,Histioteuthis dofleini,None,Histioteuthis,,Squid,Invertebrate,Invertebrate,Swimmer
80000,Asteroidea,starfish unidentNone,Asteroidea,High,Star_A,Starfish,Invertebrate,Predator
80010,Evasterias sp.,None,Evasterias,,Star_E,Starfish,Invertebrate,Predator
80015,Evasterias troschelii,None,Evasterias,,Star_E,Starfish,Invertebrate,Predator
80020,Evasterias echinosoma,None,Evasterias,Moderate,Star_E,Starfish,Invertebrate,Predator
80110,Leptasterias groenlandica,None,Leptasterias,Moderate,Star_L,Starfish,Invertebrate,Predator
80111,Leptasterias hexactis,None,Leptasterias,,Star_L,Starfish,Invertebrate,Predator
80200,Lethasterias nimensis,None,Lethasterias,High,Star_L,Starfish,Invertebrate,Predator
80201,Lethasterias sp.,Lethasterias Sp.,,,Star_L,Starfish,Invertebrate,Predator
80540,Henricia sp.,Black-spined sea star,Henricia,High,Star_O,Starfish,Invertebrate,Predator
80542,Henricia sanguinolenta,None,Henricia,Low,Star_O,Starfish,Invertebrate,Predator
80544,Henricia leviuscula,None,Henricia,,Star_O,Starfish,Invertebrate,Predator
80546,Henricia tumida,None,Henricia,Low,Star_O,Starfish,Invertebrate,Predator
80590,Leptasterias polaris,None,Leptasterias,High,Star_L,Starfish,Invertebrate,Predator
80591,Leptasterias katharinae,Leptasterias Katharinae,,,Star_L,Starfish,Invertebrate,Predator
80594,Leptasterias arctica,None,Leptasterias,High,Star_L,Starfish,Invertebrate,Predator
80595,Leptasterias sp.,None,Leptasterias,High,Star_L,Starfish,Invertebrate,Predator
81060,Solaster,Solaster,,High,Star_L,Starfish,Invertebrate,Predator
81065,Solaster stimpsoni,Striped Sun Sea Star,,,Star_L,Starfish,Invertebrate,Predator
81071,,Fisher Sun Star,,,Star_L,Starfish,Invertebrate,Predator
81090,Crossaster sp.,None,Crossaster,High,Star_O,Starfish,Invertebrate,Predator
81092,Crossaster borealis,None,Crossaster,High,Star_O,Starfish,Invertebrate,Predator
81095,Crossaster papposus,rose sea star,Crossaster,High,Star_O,Starfish,Invertebrate,Predator
81310,Pteraster sp.,None,Pteraster,High,Star_O,Starfish,Invertebrate,Predator
81315,Pteraster tesselatus,None,Pteraster,Low,Star_O,Starfish,Invertebrate,Predator
81322,Pteraster octaster,Pteraster Octaster,,,Star_O,Starfish,Invertebrate,Predator
81355,Pteraster obscurus,Obscure sea star,Pteraster,High,Star_O,Starfish,Invertebrate,Predator
81360,Diplopteraster multipes,None,Diplopteraster,,Star_O,Starfish,Invertebrate,Predator
81370,Thrissacanthias penicillatus,None,Thrissacanthias,,Star_O,Starfish,Invertebrate,Predator
81741,Asterias sp.,None,Asterias,High,Star_A,Starfish,Invertebrate,Predator
81742,Asterias amurensis,purple-orange seastar,Asterias,High,Star_A,Starfish,Invertebrate,Predator
81780,Ctenodiscus crispatus,Common Mud Star,,High,Star_A,Starfish,Invertebrate,Predator
81835,Leptychaster arcticus,North Pacific Sea Star,,Low,Star_A,Starfish,Invertebrate,Predator
82500,Echinoidea,sea urchin unidentNone,Echinoidea,,Sea urchin,Invertebrate,Invertebrate,Detribor
82510,Strongylocentrotus droebachiensis,green sea urchin,Strongylocentrotus,Low,Sea urchin,Invertebrate,Invertebrate,Detribor
82511,Strongylocentrotus,Strongylocentrotus,,Moderate,Sea urchin,Invertebrate,Invertebrate,Detribor
82530,Allocentrotus fragilis,orange-pink sea urchin,Allocentrotus,,Sea urchin,Invertebrate,Invertebrate,Detribor
82730,Echirachnius,sand dollar unidentNone,Echirachnius,,Sea urchin,Invertebrate,Invertebrate,Detribor
82740,Echirachnius parma,Parma sand dollar,Echirachnius,High,Sea urchin,Invertebrate,Invertebrate,Detribor
83000,Ophiuroid unident.,brittlestarfish unidentNone,Ophiuroid,High,Star_B,Starfish,Invertebrate,Predator
83010,Basketstarfish unident. (Use 83020),basketstarfish unidentNone,Gorgonocephalus,,Star_B,Starfish,Invertebrate,Predator
83020,Gorgonocephalus caryi,basketstarfish ,Gorgonocephalus,High,Star_B,Starfish,Invertebrate,Predator
83310,Ophiura,Ophiura,,Low,Star_B,Starfish,Invertebrate,Predator
83311,Ophiura cryptolepis,Ophiura Cryptolepis,,,Star_B,Starfish,Invertebrate,Predator
83320,Ophiura sarsi,None,Ophiura,Low,Star_B,Starfish,Invertebrate,Predator
83021,Gorgonocephalus arcticus,Gorgonocephalus Arcticus,,,Star_B,Starfish,Invertebrate,Predator
83336,Stegophiura nodosa,Stegophiura nodosa,,Low,Star_B,Starfish,Invertebrate,Predator
83390,Ophiopholis longispina,Ophiopholis Longispina,,,Star_B,Starfish,Invertebrate,Predator
83392,Ophiopholis kennerleyi,Ophiopholis Kennerleyi,,,Star_B,Starfish,Invertebrate,Predator
83400,Ophiopholis aculeata,None,Ophiopholis,Low,Star_B,Starfish,Invertebrate,Predator
85000,Holothuroidea (phylum),sea cucumber unidentNone,Holothuroidea,High,Sea cucumber,Coral,Invertebrate,Detribor
85085,Myriotrochus rinkii,Myriotrochus Rinkii,,,Sea cucumber,Coral,Invertebrate,Detribor
85169,Pentamera lissoplaca,Crescent Sea Cucumber,Pentamera,,Sea cucumber,Coral,Invertebrate,Detribor
85170,Pentamera,Pentamera,,Low,Sea cucumber,Coral,Invertebrate,Detribor
85180,Bathyplotes sp,Bathyplotes sp,Bathyplotes,Low,Sea cucumber,Coral,Invertebrate,Detribor
85200,Cucumaria sp.,None,Cucumaria,,Sea cucumber,Coral,Invertebrate,Detribor
85201,Cucumaria fallax,Sea Football,,High,Sea cucumber,Coral,Invertebrate,Detribor
85203,Cucumariidae,cucumarid sea cucumbers,,,Sea cucumber,Coral,Invertebrate,Detribor
85210,Psolus sp.,None,Psolus,High,Sea cucumber,Coral,Invertebrate,Detribor
85219,Psolus fabricii,Brownscaled Sea Cucumber,,Low,Sea cucumber,Coral,Invertebrate,Detribor
85220,Psolus squamatus,Whitescaled Sea Cucumber,,Low,Sea cucumber,Coral,Invertebrate,Detribor
85289,Synallactes,Synallactes,,,Sea cucumber,Coral,Invertebrate,Detribor
85290,Syllactes challengeri,Syllactes challengeri,,Low,Sea cucumber,Coral,Invertebrate,Detribor
91000,Porifera,sponge unidentNone,Porifera,High,Sponge,Coral,Invertebrate,Filter-feeder
91015,Suberites,Suberites,,High,Sponge,Coral,Invertebrate,Filter-feeder
91017,,Wax Sponge,,,Sponge,Coral,Invertebrate,Filter-feeder
91049,Halichondria,Halichondria,,,Sponge,Coral,Invertebrate,Filter-feeder
91050,Halichondria panicea,barrel sponge,Halichondria,Low,Sponge,Coral,Invertebrate,Filter-feeder
91050,Halichondria panicea,Barrel Sponge,,,Sponge,Coral,Invertebrate,Filter-feeder
91063,Echinoclathria beringensis,Hat Sponge,,,Sponge,Coral,Invertebrate,Filter-feeder
91261,Monanchora alaskensis,Monanchora Alaskensis,,,Sponge,Coral,Invertebrate,Filter-feeder
92000,Platyhelminthes,Flatworm Unid.,,Low,Flatworm,Invertebrate,Invertebrate,Filter-feeder
92500,Nemertea,Nemertean Worm Unid.,,Low,Flatworm,Invertebrate,Invertebrate,Filter-feeder
92900,Maldanidae,bamboo worm unid.,,,Flatworm,Invertebrate,Invertebrate,Filter-feeder
93100,Priapulida,Priapulid Worm Unid.,,Low,Flatworm,Invertebrate,Invertebrate,Filter-feeder
93500,Nematoda,Nematode Worm Unid.,,Low,Flatworm,Invertebrate,Invertebrate,Filter-feeder
94000,Sipuncula (phylum),sipunculid worm unidentNone,Sipuncula,Moderate,Flatworm,Invertebrate,Invertebrate,Filter-feeder
94500,Echiura sp.,Echiurid worm unidentified,Echiura,Low,Flatworm,Invertebrate,Invertebrate,Filter-feeder
95000,Bryozoa (phylum),bryozoan unidentNone,Bryozoa,Moderate,Bryozoa,Coral,Invertebrate,Filter-feeder
95006,Myriapora orientalis,Myriapora orientalis,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95007,Myriapora,Myriapora,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95010,Bryozoan sp. A unident. (brain coral appearance),None,Bryozoa,,Bryozoa,Coral,Invertebrate,Filter-feeder
95017,Bugula pacifica,Bugula pacifica,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95020,Eucratea loricata,Feathery bryozoan,Eucratea,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95030,Flustra serrulata,leafy bryozoan,Flustra,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95031,Carbasea Sp. ,Carbasea Sp. ,Carbasea Sp. ,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95035,Flustrellidra corniculata,Flustrellidra corniculata,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95036,Alcyonidium pedunculatum,Fruit Leather Bryozoan,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95037,Alcyonidium,Medusa Bryozoan,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95038,,Alcyonidium,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95039,Alcyonidium disciforme,Disc Bryozoan,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95040,Myriapora subgracilis,Myriapora Subgracilis,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95041,Alcyonidium enteromorpha,Noodle Bryozoan,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95050,Porella compressa,flattened bryozoan,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95060,Escharopsis sarsi,None,Escharopsis,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95070,Rhamphostomella costata,None,ribbed bryozoan,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95071,Hippoporina insculpta,Hippoporina Insculpta,,,Bryozoa,Coral,Invertebrate,Filter-feeder
95080,Cellepora ventricosa,coral bryozoan,Cellepora,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95100,Micropori articulata,None,Micropori,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
95105,Dendrobeania,Dendrobeania,,Low,Bryozoa,Coral,Invertebrate,Filter-feeder
97000,Brachiopoda (phylum),brachiopod unidentNone,Brachiopoda,,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder
97110,Terebratuli sp.,None,Terebratuli,,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder
97115,Terebratuli unguicula,None,Terebratuli,,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder
97116,Laqueus californianus  (= L. vancouverensis),None,Laqueus,,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder
98000,Ascidiacea (phylum),tunicate unident,Ascidiacea,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98001,Ascidiacea (phylum),cow-eye tunicate (new species a),Ascidiacea,,Sea squirts,Coral,Invertebrate,Filter-feeder
98002,Ascidiacea (phylum),transparent tunicate (new species b),Ascidiacea,,Sea squirts,Coral,Invertebrate,Filter-feeder
98070,Thaliacea,Salp Unid.,,Low,Sea squirts,Coral,Invertebrate,Filter-feeder
98080,Styela,Styela,,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98082,Styela rustica,sea potato,Styela,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98100,Boltenia sp.,None,Boltenia,,Sea squirts,Coral,Invertebrate,Filter-feeder
98105,Boltenia ovifera,None,Boltenia,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98200,Halocynthia sp. (syn. Tethyum sp.),sea peach unidentNone,Halocynthia,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98204,Halocynthia igaboja,Bristly Tunicate,,,Sea squirts,Coral,Invertebrate,Filter-feeder
98205,Halocynthia aurantium (=Tethyum aurantium),sea peach,Halocynthia,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98212,Distaplia occidentalis,globular ascidian,,,Sea squirts,Coral,Invertebrate,Filter-feeder
98213,Distaplia smithi,paddle ascidian,,,Sea squirts,Coral,Invertebrate,Filter-feeder
98214,Distaplia sp. A (Clark 2006),peach ascidian,,,Sea squirts,Coral,Invertebrate,Filter-feeder
98300,Ascidiacea,compound ascidian unidentNone,Ascidiacea,,Sea squirts,Coral,Invertebrate,Filter-feeder
98310,Aplidium sp.,Sea glob,Aplidium,High,Sea squirts,Coral,Invertebrate,Filter-feeder
98311,Aplidium new species a,orange aplidium,Aplidium,,Sea squirts,Coral,Invertebrate,Filter-feeder
98312,Aplidium sp.,Aplidium Sp.,,,Sea squirts,Coral,Invertebrate,Filter-feeder
98320,Synoicum sp.,Sea blob,Synoicum,Low,Sea squirts,Coral,Invertebrate,Filter-feeder
99900,Molgula sp.,None,Molgula,,Sea squirts,Coral,Invertebrate,Filter-feeder
99904,Molgula retortiformis,Sea Clod,,,Sea squirts,Coral,Invertebrate,Filter-feeder
99990,invertebrate unident.,invertebrate unidentNone,Invertebrate,,Invertebrate,Invertebrate,Invertebrate,Other
99991,invertebrate unident.,Empty Barnacle Shells,,,Invertebrate,Invertebrate,Invertebrate,Other
99993,invertebrate eggs unident.,invertebrate eggs unidentNone,inv_e,,Invertebrate,Invertebrate,Invertebrate,Other
99994,empty gastropod shells,empty gastropod shells,Shell,,Debries,Debries,Debries,Debries
99997,,Unsorted Catch And Debris,,,Debries,Debries,Debries,Debries
99998,Polychaete tubes,empty gastropod shells,Shell,High,Debries,Debries,Debries,Debries
99999,Debries,Debries,Debries,,Debries,Debries,Debries,Debries
