# 1996 Trawl survey species data,,,,,,,,,,,
# Subsamples were weights and numbers were already converted to whole weight and numbers,,,,,,,,,,,
# Original Subsample data could not be located,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,Spcode,Wt.Sample1,No.Sample2,Wt.Sample2,No.Sample2,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
1996,16,80020,0.8,1,0,0,,,7.1,9,
1996,16,80200,2.3,3,0,0,,,20.5,27,
1996,16,81742,15.1,0,0,0,,,134.7,0,
1996,16,82510,0.9,16,0,0,,,8,143,
1996,16,83020,0.05,1,0,0,,,0.4,9,
1996,16,98000,0.2,2,0,0,,,1.8,18,
1996,16,99999,3.4,0,0,0,,,30.3,0,
1996,17,10210,0.9,17,0,0,,,2.6,49,
1996,17,10285,0.1,1,0,0,,,0.3,3,
1996,17,21110,0.1,1,0,0,,,0.3,3,
1996,17,21314,0.1,2,0,0,,,0.3,6,
1996,17,21371,0.5,5,0,0,,,1.4,14,
1996,17,21387,0.1,1,0,0,,,0.3,3,
1996,17,21735,0.85,15,0,0,,,2.5,43,
1996,17,23807,0.05,3,0,0,,,0.1,9,
1996,17,41201,0.1,0,0,0,,,0.3,0,
1996,17,43020,0.1,1,0,0,,,0.3,3,
1996,17,65205,0.4,8,0,0,,,1.2,23,
1996,17,66020,0.01,1,0,0,,,0,3,
1996,17,66548,0.1,7,0,0,,,0.3,20,
1996,17,66611,0.15,7,0,0,,,0.4,20,
1996,17,68781,2.7,9,0,0,,,7.8,26,
1996,17,69120,1.6,34,0,0,,,4.6,98,
1996,17,69316,0.01,3,0,0,,,0,9,
1996,17,69322,0,0,0,0,,,1,1,
1996,17,71001,0.15,0,0,0,,,0.4,0,
1996,17,71772,0.1,1,0,0,,,0.3,3,
1996,17,71882,0.2,2,0,0,,,0.6,6,
1996,17,71884,4.2,16,0,0,,,12.1,46,
1996,17,80020,3.8,3,0,0,,,11,9,
1996,17,80200,1.7,5,0,0,,,4.9,14,
1996,17,81742,18.2,0,0,0,,,52.5,0,
1996,17,82510,1.5,34,0,0,,,4.3,98,
1996,17,83020,0.2,2,0,0,,,0.6,6,
