Year,Haul,Spcode,subsample_w_kg,subsample_n,wholesample_w_kg,wholesample_n
1999,20,69010,0.2,1,,
1999,20,69061,0.2,1,,
1999,20,69323,0.9,1,,
1999,20,71001,0.02,2,,
1999,20,80010,8,10,,
1999,20,80020,5.8,33,,
1999,20,80590,0.7,4,,
1999,20,80594,0.4,20,,
1999,20,81095,0.04,1,,
1999,20,81742,14,124,,
1999,20,82150,0.44,6,,
1999,20,83010,1,19,,
1999,20,83400,0.01,3,,
1999,20,98000,0.48,4,,
1999,20,98082,1.3,,,
1999,20,99993,0.1,6,,
1999,21,10210,8.6,445,,
1999,21,10211,2,50,,
1999,21,10220,6.9,5,,
1999,21,10260,0.56,1,,
1999,21,10285,8.5,91,,
1999,21,20040,0,,,
1999,21,21315,0.7,59,,
1999,21,21368,0.06,2,,
1999,21,21371,5.7,5,,
1999,21,21378,0.34,1,,
1999,21,21384,0.02,1,,
1999,21,21725,0.8,21,,
1999,21,21735,5.3,73,,
1999,21,23055,0.05,2,,
1999,21,23808,0.1,8,,
1999,21,40500,0.34,1,,
1999,21,41201,0.2,8,,
1999,21,66045,0.01,1,,
1999,21,66111,1.3,282,,
1999,21,66203,0.02,6,,
1999,21,66530,0.01,5,,
1999,21,68577,0.01,1,,
1999,21,68580,0.7,21,,
1999,21,69061,0.08,4,,
1999,21,80010,4.5,7,,
1999,21,80020,2.8,14,,
1999,21,80590,0.46,3,,
1999,21,81742,12.8,89,,
1999,21,82150,0.3,1,,
1999,21,83010,0.34,17,,
1999,21,83400,0.01,3,,
1999,21,88594,0.08,8,,
1999,21,98082,0.05,3,,
1999,21,99993,0.02,3,,
1999,22,10210,2.5,92,,
1999,22,10211,0.02,4,,
1999,22,10220,3.3,3,,
1999,22,10285,1.1,19,,
1999,22,20061,0.01,1,,
1999,22,21315,0.25,14,,
1999,22,21371,7.56,6,,
1999,22,21378,0.32,2,,
1999,22,21384,0.42,8,,
1999,22,21725,0.14,4,,
1999,22,21735,21.1,261,,
1999,22,21740,0.16,12,,
1999,22,21932,0.01,2,,
1999,22,22200,0.02,1,,
1999,22,23055,1,17,,
1999,22,23801,0.01,3,,
1999,22,23807,0.01,1,,
1999,22,24191,0.9,6,,
1999,22,40500,1.4,1,,
1999,22,41201,0.18,6,,
1999,22,66045,0.02,3,,
1999,22,66548,0.02,10,,
1999,22,66611,1.8,198,,
1999,22,68577,0.06,1,,
1999,22,68580,0.42,21,,
1999,22,69061,0.02,2,,
1999,22,80010,3.8,8,,
1999,22,80200,4.1,24,,
1999,22,80590,0.06,1,,
1999,22,80594,0.08,12,,
1999,22,81095,0.04,1,,
1999,22,81742,21.5,162,,
1999,22,82150,0.06,2,,
1999,22,83010,0.6,6,,
1999,22,83400,0.2,39,,
1999,22,99993,0.12,5,,
1999,23,10210,0.01,1,,
1999,23,10220,2.4,2,,
1999,23,21371,,,8.16,3
1999,23,21735,1.3,12,,
1999,23,23055,0.04,1,,
1999,23,23807,0.02,3,,
1999,23,24185,0.03,1,,
1999,23,24189,0.66,1,,
1999,23,56312,0.01,1,,
1999,23,66045,0.01,1,,
1999,23,66611,0.02,18,,
1999,23,68580,8.3,353,,
1999,23,68781,0.04,1,,
1999,23,69061,0.1,10,,
1999,23,69322,5,44,,
1999,23,70100,0.02,,,
1999,23,74435,0.01,1,,
1999,23,75111,0.2,5,,
1999,23,75330,0.02,1,,
1999,23,80010,1.6,5,,
1999,23,80200,6.4,21,,
1999,23,80590,0.06,1,,
1999,23,80594,0.01,1,,
1999,23,81742,26.46,187,,
1999,23,82510,0.04,2,,
1999,23,83010,0.6,6,,
1999,23,98000,0.01,1,,
1999,23,99993,1.1,,,
1999,24,10210,0.03,3,,
1999,24,10220,6.2,3,,
1999,24,10285,0.74,6,,
1999,24,21368,0.42,1,,
1999,24,21378,1.1,5,,
1999,24,21735,3.04,36,,
1999,24,21740,0.04,3,,
1999,24,23055,0.26,6,,
1999,24,23807,0.02,2,,
1999,24,41201,0.04,1,,
1999,24,43000,0.24,4,,
1999,24,56312,0.01,3,,
1999,24,66045,0.02,3,,
1999,24,66203,0.03,2,,
1999,24,66530,0.01,1,,
1999,24,66548,0.02,3,,
1999,24,66611,0.66,70,,
1999,24,68577,0.54,5,,
1999,24,68580,0.34,19,,
1999,24,68781,1.4,5,,
1999,24,69010,0.14,1,,
1999,24,69322,7.4,7,,
1999,24,71001,0.04,,,
1999,24,71001,0.01,1,,
1999,24,71884,0.68,3,,
1999,24,80010,4.64,14,,
1999,24,80010,4.1,9,,
1999,24,81742,32.6,258,,
1999,24,82510,0.1,2,,
1999,24,83010,0.58,2,,
1999,24,85200,0.02,1,,
1999,24,95000,0,1,,
1999,24,98000,0.01,3,,
1999,24,99993,0.02,,,
1999,24,99999,1.3,,,
1999,25,69322,7.5,10,,
1999,26,10210,1,18,,
1999,26,10220,4.8,3,,
1999,26,10285,0.84,8,,
1999,26,21110,0.04,1,,
1999,26,21371,0.4,1,,
1999,26,21384,0.02,1,,
1999,26,21735,4.8,65,,
1999,26,21740,0.02,2,,
1999,26,23055,0.2,4,,
1999,26,23807,0.02,1,,
1999,26,40500,1.34,2,,
1999,26,41201,0.04,3,,
1999,26,43000,0.4,5,,
1999,26,56312,0.01,1,,
1999,26,66045,0.01,2,,
1999,26,66530,0.04,6,,
1999,26,66611,0.36,56,,
1999,26,68580,0.1,5,,
1999,26,69061,0.06,2,,
1999,26,69322,1,1,,
1999,26,80010,4.4,9,,
1999,26,80200,3.7,16,,
1999,26,81742,29.5,361,,
1999,26,83010,0.2,2,,
1999,26,98000,0.96,1,,
1999,26,99993,0.06,,,
1999,26,99999,0.24,2,,
1999,27,10210,4.1,187,,
1999,27,10211,0.44,10,,
1999,27,10260,0.66,2,,
1999,27,10285,4.46,75,,
1999,27,21110,0.1,2,,
1999,27,21314,0.08,4,,
1999,27,21315,0.08,4,,
1999,27,21371,0.08,1,,
1999,27,21378,0.38,2,,
1999,27,21384,0.24,6,,
1999,27,21725,0.54,17,,
1999,27,21735,0.7,14,,
1999,27,21740,0.01,1,,
1999,27,23055,0.3,11,,
1999,27,23807,0.18,16,,
1999,27,40500,0.06,1,,
1999,27,41201,0.02,2,,
1999,27,56312,0.01,1,,
1999,27,66530,0.02,12,,
1999,27,66548,0.04,13,,
1999,27,66611,0.76,107,,
1999,27,68781,1.42,11,,
1999,27,69090,0.16,1,,
1999,27,69322,1.2,2,,
1999,27,74435,0.01,1,,
1999,27,80010,8.1,20,,
1999,27,80200,8.06,21,,
1999,27,80594,0.01,1,,
1999,27,81742,42.6,590,,
1999,27,83010,0.12,15,,
1999,27,99993,0.04,,,
1999,27,99999,0.96,,,
1999,28,10210,0.26,9,,
1999,28,10220,,,5.3,4
1999,28,10285,,,1.86,3
