Year,Vessel,Haul,Lattitude,Longitude
2010,89,7,62.65552,-168.9043
2010,89,8,62.93715,-168.986
2010,89,9,62.676,-169.57675
2010,89,10,62.34737,-169.5963
2010,89,11,62.01638,-169.54808
2010,89,12,61.67337,-169.5049
2010,89,13,61.34832,-169.46143
2010,89,14,61.01115,-169.42953
2010,89,15,60.66768,-169.35685
2010,89,16,60.66797,-170.03462
2010,89,17,60.65348,-170.7545
2010,89,18,60.9981,-170.84488
2010,89,19,60.98112,-170.09193
2010,89,20,61.32553,-170.0987
2010,89,21,61.33793,-170.77408
2010,89,22,61.33077,-171.48933
2010,89,23,61.65798,-171.53878
2010,89,24,61.65965,-170.86265
2010,89,25,61.99455,-170.95498
2010,89,26,61.99648,-171.6442
2010,89,27,61.97613,-172.36885
2010,89,28,62.32177,-172.40093
2010,89,29,62.32792,-171.74788
2010,89,30,62.65408,-171.81212
2010,89,31,62.97495,-171.79808
2010,89,32,63.3081,-171.97583
2010,89,33,63.28073,-171.15252
2010,89,34,62.998,-171.15408
2010,89,35,62.95192,-170.50662
2010,89,36,62.67765,-170.34105
2010,89,37,62.65313,-171.08255
2010,89,38,62.35522,-171.04742
2010,89,39,62.35242,-170.28513
2010,89,40,62.01268,-170.25692
2010,89,41,61.67145,-170.21017
2010,89,42,61.6588,-166.73952
2010,89,43,61.35608,-166.90597
2010,89,44,61.01755,-166.67373
2010,89,45,60.6716,-166.69558
2010,94,1,60.68555,-167.99962
2010,94,2,60.66808,-167.36012
2010,94,3,60.98938,-167.34417
2010,94,4,61.01843,-168.03232
2010,94,5,61.32565,-168.06697
2010,94,6,61.31947,-167.37382
2010,94,7,61.65333,-167.4031
2010,94,8,61.64993,-168.09252
2010,94,9,61.98527,-168.12582
2010,94,10,61.98393,-167.41658
2010,94,11,62.32337,-167.43547
2010,94,12,62.32017,-168.14393
2010,94,13,62.6493,-168.1882
2010,94,14,62.65202,-167.48878
2010,94,15,62.98648,-167.48463
2010,94,16,62.98922,-168.20485
2010,94,17,63.31945,-168.24468
2010,94,18,63.31822,-167.51027
2010,94,19,63.65297,-167.53097
2010,94,20,63.67842,-168.2923
2010,94,21,63.68055,-169.00202
2010,94,22,63.64828,-169.74898
2010,94,23,63.98052,-169.77357
2010,94,24,63.98347,-170.5616
2010,94,25,64.01273,-171.34162
2010,94,26,63.98623,-172.0534
2010,94,27,63.70007,-172.06112
2010,94,28,63.67602,-172.71473
2010,94,30,64.3373,-170.59722
2010,94,31,64.30922,-169.82915
2010,94,32,64.30527,-169.12482
2010,94,33,64.01918,-169.04827
2010,94,34,63.978,-168.3002
2010,94,35,64.34282,-168.32537
2010,94,36,64.66873,-168.36397
2010,94,37,64.63747,-170.61765
2010,94,38,64.6786,-169.90315
2010,94,39,64.64222,-169.18483
2010,94,40,65.02415,-169.1029
2010,94,41,65.01542,-169.88993
2010,94,43,65.32702,-168.42677
2010,94,44,65.31457,-167.8908
2010,94,45,65.0047,-167.615
2010,94,46,65.0101,-168.34465
2010,94,47,64.68485,-167.60737
2010,94,48,64.64992,-166.8244
2010,94,49,64.32705,-166.81525
2010,94,50,64.34658,-167.57355
2010,94,51,64.01647,-167.56212
2010,94,52,64.00048,-166.78975
2010,94,53,63.6777,-166.78432
2010,94,54,63.36122,-166.76678
2010,94,55,63.00898,-166.7415
2010,94,56,62.97382,-166.02683
2010,94,57,63.32395,-166.03523
2010,94,58,63.3285,-165.3068
2010,94,59,63.65108,-165.29893
2010,94,60,63.65072,-166.04002
2010,94,61,63.98262,-166.02893
2010,94,62,63.99078,-165.33017
2010,94,63,64.00382,-164.55712
2010,94,64,63.68882,-164.55802
2010,94,65,64.00938,-163.79893
2010,94,66,63.66763,-163.85105
2010,94,67,63.65018,-163.06477
2010,94,68,63.98847,-163.04942
2010,94,69,64.01867,-162.30207
2010,94,71,63.97832,-161.52122
2010,94,72,64.30037,-161.53125
2010,94,73,64.34757,-162.24343
2010,94,74,64.316,-163.00065
2010,94,75,64.32538,-163.7621
2010,94,76,64.31973,-164.49707
2010,94,77,64.3209,-165.28733
2010,94,78,64.32988,-166.01243
2010,94,79,62.67933,-166.72703
2010,94,81,62.34858,-166.7234
2010,94,82,62.02592,-166.6954
2010,162,1,62.31255,-175.27057
2010,162,2,62.32582,-173.81928
2010,162,3,62.32398,-174.53585
2010,162,4,62.65517,-174.63522
2010,162,5,62.66702,-173.93643
2010,162,6,62.98033,-173.99422
2010,162,7,62.98117,-173.23185
2010,162,8,63.33627,-173.43953
2010,162,9,63.34127,-172.6869
2010,162,10,63.01703,-172.60907
2010,162,11,62.68162,-172.45557
2010,162,12,62.6812,-173.17917
2010,162,13,62.3416,-173.15248
2010,162,14,62.01412,-173.0444
2010,162,15,61.6815,-173.08012
2010,162,16,61.34813,-172.91573
2010,162,17,61.6752,-172.26853
2010,162,18,61.33037,-172.12403
2017,94,1,62.01701,-173.08811
2017,94,2,61.67507,-173.03695
2017,94,3,61.34819,-172.93787
2017,94,4,61.33421,-172.28472
2017,94,5,61.64722,-172.32744
2017,94,6,61.98302,-172.36485
2017,94,7,61.99969,-171.67626
2017,94,8,61.68644,-171.58939
2017,94,9,61.34348,-171.5155
2017,94,10,61.68781,-170.91189
2017,94,11,61.34774,-170.84622
2017,94,12,61.01563,-170.81642
2017,94,13,60.68269,-170.75829
2017,94,14,60.65761,-169.3748
2017,94,15,60.98503,-169.43187
2017,94,16,61.31405,-169.46294
2017,94,17,60.65017,-166.64281
2017,94,18,60.99672,-166.66419
2017,94,19,61.31672,-166.90655
2017,94,20,61.63282,-166.74006
2017,94,21,61.98632,-166.70206
2017,94,22,62.31264,-166.72983
2017,94,23,62.63023,-166.74736
2017,94,24,62.97934,-166.74853
2017,94,25,63.00227,-166.06244
2017,94,26,63.32407,-166.03012
2017,94,27,63.31236,-165.34261
2017,94,28,63.63887,-165.35388
2017,94,29,63.6767,-164.63987
2017,94,30,63.67083,-163.85737
2017,94,31,63.65409,-163.06635
2017,94,32,63.98433,-163.05843
2017,94,33,64.00596,-162.36138
2017,94,36,63.97908,-161.52082
2017,94,37,64.32334,-161.53573
2017,94,38,64.34302,-162.25634
2017,94,39,64.25758,-163.10419
2017,94,40,64.35113,-163.78507
2017,94,41,64.01406,-163.7894
2017,94,42,63.99192,-164.51566
2017,94,43,64.33636,-164.55557
2017,94,44,64.66608,-166.8257
2017,94,45,64.35209,-166.84163
2017,94,46,64.33113,-166.08866
2017,94,47,64.34224,-165.35309
2017,94,48,64.02764,-165.31257
2017,94,49,64.00615,-166.05828
2017,94,50,63.68999,-166.05712
2017,94,51,64.01154,-166.82041
2017,94,52,63.67673,-166.80407
2017,94,53,63.3228,-166.7912
2017,94,54,61.6908,-167.41261
2017,94,55,61.35742,-167.3683
2017,94,56,61.00994,-167.33526
2017,94,57,60.68686,-167.3131
2017,162,1,62.3355,-175.32548
2017,162,2,62.34059,-174.67199
2017,162,3,62.34133,-173.91059
2017,162,4,62.34279,-173.20171
2017,162,5,62.33077,-172.47259
2017,162,6,62.33723,-171.75435
2017,162,7,62.34958,-171.06491
2017,162,8,61.99623,-170.9878
2017,162,9,61.68569,-170.22311
2017,162,10,61.34416,-170.17862
2017,162,11,61.00823,-170.13351
2017,162,12,60.68748,-170.05839
2017,162,13,60.6541,-168.71172
2017,162,14,60.98135,-168.71086
2017,162,15,61.31719,-168.74052
2017,162,16,62.94433,-168.97267
2017,162,17,62.67291,-168.89126
2017,162,18,62.34575,-168.86793
2017,162,19,63.27347,-171.12473
2017,162,20,62.99721,-171.14772
2017,162,21,62.95094,-170.49839
2017,162,22,62.67648,-169.57618
2017,162,23,61.98309,-168.84004
2017,162,24,61.65359,-168.80168
2017,162,25,61.65301,-169.49895
2017,162,26,61.99561,-169.54919
2017,162,27,62.34563,-169.5954
2017,162,28,61.99046,-170.25662
2017,162,29,62.32893,-170.28277
2017,162,30,62.67792,-170.33984
2017,162,31,62.65559,-171.08239
2017,162,32,63.32284,-171.90317
2017,162,33,63.01304,-171.79938
2017,162,34,62.68117,-171.81728
2017,162,35,62.65666,-172.45506
2017,162,36,62.65832,-174.63451
2017,162,37,62.66685,-173.93349
2017,162,38,62.65731,-173.18847
2017,162,39,62.9809,-173.99331
2017,162,40,63.33622,-173.43973
2017,162,41,63.00766,-173.23262
2017,162,43,62.99547,-172.60447
2017,162,44,63.31209,-172.69496
2017,162,45,63.66189,-172.75738
2017,162,46,63.70417,-172.10475
2017,162,47,63.99258,-172.05101
2017,162,48,64.05312,-171.3413
2017,162,49,64.3118,-171.26742
2017,162,50,64.28829,-170.67246
2017,162,51,63.98111,-170.56345
2017,162,52,64.30315,-169.82305
2017,162,53,64.61188,-170.68475
2017,162,54,64.64471,-169.89549
2017,162,55,65.01595,-169.88722
2017,162,56,65.02583,-169.09796
2017,162,57,65.23036,-168.89476
2017,162,58,64.31684,-167.57655
2017,162,59,64.71738,-167.60807
2017,162,60,64.98148,-167.61734
2017,162,61,65.26942,-167.87927
2017,162,62,65.33807,-168.37856
2017,162,63,65.0139,-168.34379
2017,162,64,64.66028,-169.14002
2017,162,65,64.67169,-168.36794
2017,162,66,64.34105,-168.32584
2017,162,67,64.30449,-169.12555
2017,162,68,64.02027,-169.04763
2017,162,69,64.00349,-169.81069
2017,162,70,63.67893,-169.75783
2017,162,71,63.68148,-169.00066
2017,162,72,64.01933,-168.29667
2017,162,73,64.04112,-167.56903
2017,162,74,63.67909,-167.52507
2017,162,75,63.67996,-168.29533
2017,162,76,63.01667,-168.23427
2017,162,77,63.33784,-168.24018
2017,162,78,63.34345,-167.5048
2017,162,79,63.01222,-167.48381
2017,162,80,62.67099,-168.18372
2017,162,81,62.34583,-168.16441
2017,162,82,62.67498,-167.47073
2017,162,83,62.3517,-167.43943
2017,162,84,62.00059,-167.41451
2017,162,85,62.01408,-168.12631
2017,162,86,61.6809,-168.09961
2017,162,87,61.35302,-168.06646
2017,162,88,61.01858,-168.03206
2017,162,89,60.6848,-168.00995
2018,94,217,61.25117,-172.73427
2018,94,218,61.25612,-171.77692
2018,94,219,61.7234,-170.75554
2018,94,220,62.23226,-170.81739
2018,94,221,62.74098,-170.8993
2018,94,223,62.77532,-169.72241
2018,94,224,62.26311,-169.66134
2018,94,225,61.76001,-169.59335
2018,94,226,61.25579,-169.50437
2018,94,227,61.25222,-170.65469
2018,94,228,60.76125,-170.58796
2018,162,196,62.24431,-175.21994
2018,162,197,62.2492,-174.01861
2018,162,198,62.73051,-174.07743
2018,162,199,62.73719,-173.0872
2018,162,200,62.26327,-172.91771
2018,162,201,61.76376,-172.8032
2018,162,202,61.7508,-171.84866
2018,162,203,62.23029,-171.90859
2018,162,205,63.26249,-171.1148
2018,162,206,63.24582,-171.9725
2018,162,207,62.81744,-171.99411
2018,162,208,63.24156,-173.11936
2018,162,209,64.23901,-171.0909
2018,162,210,64.73641,-170.06694
2018,162,211,65.23351,-168.98825
2018,162,212,65.25117,-167.8867
2018,162,213,63.73008,-166.59452
2018,162,214,64.24987,-166.59958
2018,162,215,64.25088,-167.63656
2018,162,216,64.75445,-167.78685
2018,162,217,64.74443,-168.87759
2018,162,218,64.27223,-168.81443
2018,162,219,64.24945,-169.94654
2018,162,220,63.75659,-172.29498
2018,162,221,63.86494,-171.2465
2018,162,222,63.75308,-169.96419
2018,162,223,63.75038,-168.83549
2018,162,224,63.77148,-167.66989
2018,162,225,63.25763,-167.61765
2018,162,226,63.24092,-168.54551
2018,162,227,62.75991,-168.66339
2018,162,228,62.76084,-167.58103
2018,162,229,62.26211,-167.54307
2018,162,230,62.26547,-168.62546
2018,162,231,61.78443,-168.62122
2018,162,232,61.27117,-168.60603
2018,162,233,60.76255,-168.53513
2018,162,234,60.76415,-169.48741
2019,94,1,62.01951,-173.08485
2019,94,2,61.68986,-173.09232
2019,94,3,61.34522,-172.93641
2019,94,4,61.33394,-172.30297
2019,94,5,61.65069,-172.33413
2019,94,6,61.69169,-171.55195
2019,94,7,61.34953,-171.50395
2019,94,8,61.32737,-170.84864
2019,94,9,61.66214,-170.9131
2019,94,10,64.34148,-165.34574
2019,94,11,64.02649,-165.31826
2019,94,12,64.00193,-164.57754
2019,94,14,64.32562,-164.56143
2019,94,15,64.33999,-163.81224
2019,94,16,64.01394,-163.76942
2019,94,17,64.0021,-163.09207
2019,94,19,64.24656,-163.1549
2019,94,20,64.33168,-162.30487
2019,94,21,64.32452,-161.58357
2019,94,22,64.0103,-161.52865
2019,94,23,63.99902,-162.28585
2019,94,25,63.66949,-163.02229
2019,94,26,63.6639,-163.78148
2019,94,28,63.67248,-164.54212
2019,94,29,63.66492,-165.27958
2019,94,30,63.3328,-165.27648
2019,94,31,63.33477,-166.00965
2019,94,33,63.34904,-166.76549
2019,94,34,63.01326,-166.02851
2019,94,35,63.0176,-166.74338
2019,94,37,62.6729,-166.73227
2019,94,38,62.3525,-166.74211
2019,94,40,62.0176,-166.69015
2019,94,41,61.97795,-167.41862
2019,94,42,62.32335,-167.43727
2019,94,43,62.65673,-167.44767
2019,94,44,62.98615,-167.48567
2019,94,45,63.33041,-167.51502
2019,94,47,64.01062,-166.81057
2019,94,48,63.678,-166.7894
2019,94,49,63.66075,-166.06117
2019,94,50,63.99075,-166.05424
2019,94,51,63.6825,-167.49157
2019,94,53,63.68253,-168.2543
2019,94,54,63.35289,-168.26484
2019,94,55,63.0183,-168.21669
2019,94,57,62.88519,-168.82755
2019,94,58,62.67784,-168.86977
2019,94,59,62.68036,-168.17886
2019,94,60,62.35588,-168.14039
2019,94,61,62.34609,-168.84859
2019,94,62,62.01017,-168.84183
2019,94,63,62.01081,-168.12305
2019,94,64,61.67864,-168.08705
2019,94,65,61.66567,-168.77762
2019,94,66,61.3408,-168.76756
2019,94,67,61.329,-168.11093
2019,94,68,61.33932,-167.39129
2019,94,69,61.65455,-167.39978
2019,94,70,61.6592,-166.74304
2019,94,72,61.34322,-166.67566
2019,94,73,61.0111,-166.64916
2019,94,74,60.67659,-166.6225
2019,94,75,60.66506,-167.30258
2019,94,76,61.00198,-167.3394
2019,94,77,60.99756,-168.01011
2019,94,78,60.99762,-168.68906
2019,94,79,60.6782,-168.01839
2019,94,80,60.66753,-168.67325
2019,94,81,60.67605,-169.34569
2019,162,1,62.30649,-175.3341
2019,162,2,62.33363,-174.59758
2019,162,3,62.3338,-173.89003
2019,162,4,62.33432,-173.18268
2019,162,5,62.33659,-172.47037
2019,162,6,62.02148,-172.37513
2019,162,7,61.97314,-171.65201
2019,162,8,62.3127,-171.72417
2019,162,9,62.34143,-171.07285
2019,162,10,62.01016,-170.98117
2019,162,11,64.33135,-166.01553
2019,162,12,64.32683,-166.82669
2019,162,13,64.64538,-166.8071
2019,162,14,64.66144,-167.60254
2019,162,15,64.99464,-167.63304
2019,162,16,65.29108,-167.65873
2019,162,17,65.33323,-168.3589
2019,162,18,65.23569,-168.89503
2019,162,19,65.00346,-169.92351
