# NMFS_1976_1991_Catch.csv,,,,
# Derived from NOAA Kodiak ,,,,
"# Expaned whole weight and count by year, Haul, and Species code ",,,,
#,,,,
#,,,,
#,,,,
Year,Haul,Spcode,Total_n,Weight_kg
1976,138,83020,1,0.1
1976,138,98082,2,0.08
1976,138,99990,,0.726
1976,139,10210,28,1.361
1976,139,10220,16,14.969
1976,139,10285,13,2.268
1976,139,20040,3,0.045
1976,139,21315,8,0.227
1976,139,21355,2,0.045
1976,139,21735,744,31.57
1976,139,21740,2,0.045
1976,139,22200,1,0.045
1976,139,23055,38,1.361
1976,139,23807,7,0.227
1976,139,23809,1,0.091
1976,139,24185,2,0.181
1976,139,41201,2,0.04
1976,139,66530,1,0.045
1976,139,66611,561,3.357
1976,139,68577,2,0.04
1976,139,68580,26,0.363
1976,139,69061,12,0.278
1976,139,69086,10,0.966
1976,139,69120,38,2.754
1976,139,69322,17,16.601
1976,139,71772,1,0.136
1976,139,75240,1,0.045
1976,139,75285,1,0.045
1976,139,80020,7,5.9
1976,139,80200,44,13.2
1976,139,80595,2,0.04
1976,139,81742,144,31.8
1976,139,83020,3,0.1
1976,139,98000,1,0.3
1976,139,99990,,1.86
1976,140,10220,5,7.711
1976,140,10285,1,0.454
1976,140,20040,2,0.045
1976,140,21110,2,0.091
1976,140,21315,7,0.454
1976,140,21368,8,1.361
1976,140,21371,1,0.227
1976,140,21388,2,0.091
1976,140,21725,4,0.227
1976,140,21735,472,26.309
1976,140,21740,7,0.091
1976,140,22200,1,0.045
1976,140,23055,64,1.814
1976,140,23807,4,0.045
1976,140,41201,7,0.1
1976,140,43000,1,0.02
1976,140,66611,110,1.134
1976,140,68577,9,0.6
1976,140,68580,38,0.045
1976,140,69061,14,0.315
1976,140,69086,77,11.498
1976,140,69120,70,5.07
1976,140,69322,14,17.146
1976,140,71884,1,0.045
1976,140,80020,11,8.2
1976,140,80200,57,17.3
1976,140,80590,6,0.9
1976,140,80595,5,0.1
1976,140,81095,1,0.04
1976,140,81742,161,35.4
1976,140,83020,5,2.087
1976,140,98000,1,0.8
1976,140,98082,6,0.1
1976,140,98082,30,1
1976,140,98105,1,0.1
1976,140,99990,,6.804
1976,141,10210,3,0.408
1976,141,10220,1,0.907
1976,141,10285,1,0.454
1976,141,20040,4,0.091
1976,141,21110,3,0.272
1976,141,21315,8,0.227
1976,141,21368,2,0.68
1976,141,21735,368,12.111
1976,141,21740,3,0.091
1976,141,22200,1,0.045
1976,141,23055,47,1.225
1976,141,23807,4,0.091
1976,141,24185,1,0.091
1976,141,41201,1,0.01
1976,141,66611,101,0.998
1976,141,68577,3,0.2
1976,141,68580,3,0.227
1976,141,69061,3,0.045
1976,141,69086,35,3.696
1976,141,69120,21,1.256
1976,141,69322,5,5.897
1976,141,71753,2,0.272
1976,141,71882,11,1.225
1976,141,71884,16,2.132
1976,141,74562,4,0.045
1976,141,80020,7,5.9
1976,141,80200,24,7.3
1976,141,80590,4,0.8
1976,141,80595,12,0.2
1976,141,81742,80,17.7
1976,141,82510,1,0.1
1976,141,83020,4,0.544
1976,141,98000,1,3.2
1976,141,99990,,5.398
1976,142,10210,8,0.68
1976,142,10211,1,0.045
1976,142,10220,21,24.04
1976,142,10285,11,1.361
1976,142,20040,1,0.045
1976,142,21110,4,0.227
1976,142,21315,5,0.181
1976,142,21355,3,0.091
1976,142,21371,2,0.907
1976,142,21725,1,0.045
1976,142,21735,964,34.927
1976,142,23055,7,0.227
1976,142,23807,3,0.091
1976,142,41201,0.3,15
1976,142,66050,1,0.045
1976,142,66530,7,0.045
1976,142,66611,455,2.722
1976,142,68577,2,0.01
1976,142,68580,8,0.181
1976,142,69061,6,0.18
1976,142,69086,122,14.783
1976,142,69120,104,5.024
1976,142,69322,2,1.814
1976,142,74562,8,0.091
1976,142,80020,1,0.8
1976,142,80200,24,7.3
1976,142,80590,1,0.3
1976,142,80595,3,0.3
1976,142,81742,171,37.7
1976,142,82510,3,0.3
1976,142,83020,8,1.134
1976,142,98000,1,2.1
1976,142,98082,126,4.5
1976,142,99990,,10.07
1976,143,10210,14,0.907
1976,143,10220,4,2.268
1976,143,10285,2,0.408
1976,143,20040,6,0.091
1976,143,20051,1,0.045
1976,143,21110,12,0.68
1976,143,21315,53,0.998
1976,143,21368,2,0.907
1976,143,21405,1,0.045
1976,143,21725,2,0.045
1976,143,21735,1653,29.03
1976,143,21740,5,0.136
1976,143,22200,5,0.181
1976,143,23055,5,0.091
1976,143,23807,3,0.091
1976,143,41201,15,0.3
1976,143,66611,285,2.948
1976,143,68577,5,0.2
1976,143,69061,27,0.675
1976,143,69086,252,21.304
1976,143,69120,144,8.783
1976,143,69322,4,4.536
1976,143,71756,19,1.043
1976,143,71772,5,0.499
1976,143,71882,14,0.907
1976,143,71884,36,2.54
1976,143,80020,1,0.9
1976,143,80200,11,3.2
1976,143,80595,3,0.03
1976,143,81742,110,24.3
1976,143,82510,8,0.6
1976,143,83020,14,1.588
1976,143,98000,1,4.5
1976,143,99990,,33.883
1976,144,10210,26,1.542
1976,144,10211,1,0.091
1976,144,10220,4,4.536
1976,144,10285,11,2.087
1976,144,20040,13,0.272
1976,144,21110,3,0.227
1976,144,21315,46,0.68
1976,144,21368,1,0.68
1976,144,21735,1522,31.071
1976,144,21740,10,0.136
1976,144,21753,1,0.045
1976,144,22200,2,0.091
1976,144,23055,25,0.499
1976,144,23807,13,0.318
1976,144,24189,1,0.091
1976,144,40500,1,0.2
1976,144,43000,1,0.06
1976,144,66530,2,0.045
1976,144,66611,294,2.722
1976,144,68577,11,0.2
1976,144,68580,3,0.091
1976,144,69086,64,11.594
1976,144,69090,6,1.304
1976,144,69120,24,2.029
1976,144,69322,3,3.175
1976,144,71772,3,0.181
1976,144,71835,1,0.045
1976,144,71882,7,0.544
1976,144,71884,14,1.134
1976,144,80200,11,3.2
1976,144,80595,12,0.1
1976,144,81742,88,19.3
1976,144,82510,1,0.03
1976,144,83020,2,0.318
1976,144,98000,1,2.5
1976,144,98082,63,2.3
1976,144,99990,,8.391
1976,145,10210,114,4.082
1976,145,10211,78,4.082
1976,145,10220,3,3.175
1976,145,10285,11,1.043
1976,145,20040,13,0.181
1976,145,21315,21,0.272
1976,145,21355,1,0.045
1976,145,21371,2,1.814
1976,145,21388,5,0.68
1976,145,21405,1,0.045
1976,145,21725,1,0.045
1976,145,21735,1604,53.524
1976,145,21740,1,0.045
1976,145,21932,1,0.045
1976,145,22200,3,0.136
1976,145,23055,7,0.181
1976,145,23807,23,0.227
1976,145,23809,14,1.27
1976,145,40500,1,0.3
1976,145,41201,10,0.2
1976,145,66530,1,0.045
1976,145,66611,169,1.451
1976,145,68577,10,0.2
1976,145,68580,1,0.045
1976,145,69061,5,0.15
1976,145,69086,45,5.072
1976,145,69090,25,2.295
1976,145,69120,80,4.227
1976,145,69322,1,1.134
1976,145,71772,9,0.454
1976,145,71882,14,1.27
1976,145,71884,75,7.802
1976,145,80200,4,1.4
1976,145,80595,5,0.03
1976,145,81742,56,12.3
1976,145,82510,2,0.2
1976,145,83020,3,0.318
1976,145,98000,1,0.8
1976,145,98082,504,18.2
1976,145,99990,,23.768
1976,146,10210,104,7.257
1976,146,10211,3,0.136
1976,146,10220,1,0.907
1976,146,10285,23,3.629
1976,146,20040,4,0.091
1976,146,20060,1,0.045
1976,146,21371,2,0.136
1976,146,21388,2,0.227
1976,146,21735,382,12.202
1976,146,22200,2,0.091
1976,146,23055,4,0.091
1976,146,23807,6,0.136
1976,146,23809,8,0.59
1976,146,24185,1,0.136
1976,146,40500,10,0.8
1976,146,41201,25,0.5
1976,146,43000,2,0.01
1976,146,66530,12,0.045
1976,146,66611,163,1.089
1976,146,68577,2,0.02
1976,146,69061,6,0.203
1976,146,69086,4,0.459
1976,146,69090,4,0.483
1976,146,69120,50,2.754
1976,146,69322,2,1.814
1976,146,75285,1,0.045
1976,146,80200,1,0.5
1976,146,80595,2,0.02
1976,146,98000,1,1.1
1976,146,98082,18,0.6
1976,146,99990,,7.167
1976,147,10155,21,2.495
