# 2006 Trawl survey length weight data ,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2006,105,,Walleye pollock,21740,712,,,,,
2006,105,,Walleye pollock,21740,670,,,,,
2006,106,,Pacific cod,21720,653,,,,,
2006,106,,Walleye pollock,21740,709,,,,,
2006,106,,Walleye pollock,21740,726,,,,,
2006,106,,Walleye pollock,21740,669,,,,,
2006,106,,Walleye pollock,21740,688,,,,,
2006,106,,Walleye pollock,21740,710,,,,,
2006,106,,Walleye pollock,21740,673,,,,,
2006,107,,Walleye pollock,21740,639,,,,,
2006,107,,Walleye pollock,21740,692,,,,,
2006,107,,Walleye pollock,21740,701,,,,,
2006,107,,Walleye pollock,21740,706,,,,,
2006,107,,Walleye pollock,21740,625,,,,,
2006,107,,Walleye pollock,21740,630,,,,,
2006,108,,Walleye pollock,21740,635,,,,,
2006,109,,Walleye pollock,21740,639,,,,,
2006,109,,Walleye pollock,21740,641,,,,,
2006,109,,Walleye pollock,21740,583,,,,,
2006,109,,Walleye pollock,21740,602,,,,,
2006,110,,Pacific cod,21720,745,,,,,
2006,110,,Pacific cod,21720,587,,,,,
2006,110,,Pacific cod,21720,618,,,,,
2006,110,,Pacific cod,21720,503,,,,,
2006,110,,Pacific cod,21720,561,,,,,
2006,110,,Pacific cod,21720,552,,,,,
2006,110,,Walleye pollock,21740,660,,,,,
2006,110,,Walleye pollock,21740,654,,,,,
2006,110,,Walleye pollock,21740,685,,,,,
2006,110,,Walleye pollock,21740,671,,,,,
2006,110,,Walleye pollock,21740,680,,,,,
2006,110,,Walleye pollock,21740,653,,,,,
2006,110,,Walleye pollock,21740,634,,,,,
2006,110,,Walleye pollock,21740,692,,,,,
2006,110,,Walleye pollock,21740,620,,,,,
2006,110,,Walleye pollock,21740,704,,,,,
2006,110,,Walleye pollock,21740,701,,,,,
2006,110,,Walleye pollock,21740,656,,,,,
2006,110,,Walleye pollock,21740,655,,,,,
2006,110,,Walleye pollock,21740,676,,,,,
2006,110,,Walleye pollock,21740,693,,,,,
2006,110,,Walleye pollock,21740,662,,,,,
2006,110,,Walleye pollock,21740,681,,,,,
2006,110,,Walleye pollock,21740,709,,,,,
2006,110,,Walleye pollock,21740,678,,,,,
2006,110,,Walleye pollock,21740,635,,,,,
2006,110,,Walleye pollock,21740,717,,,,,
2006,110,,Walleye pollock,21740,698,,,,,
2006,110,,Walleye pollock,21740,734,,,,,
2006,110,,Walleye pollock,21740,676,,,,,
2006,110,,Walleye pollock,21740,612,,,,,
2006,110,,Walleye pollock,21740,583,,,,,
2006,110,,Walleye pollock,21740,741,,,,,
2006,110,,Walleye pollock,21740,704,,,,,
2006,111,,Pacific cod,21720,611,,,,,
2006,111,,Pacific cod,21720,600,,,,,
2006,111,,Pacific cod,21720,616,,,,,
2006,111,,Pacific cod,21720,562,,,,,
2006,111,,Pacific cod,21720,679,,,,,
2006,111,,Pacific cod,21720,602,,,,,
2006,111,,Pacific cod,21720,628,,,,,
2006,111,,Pacific cod,21720,707,,,,,
2006,111,,Pacific cod,21720,575,,,,,
2006,111,,Pacific cod,21720,644,,,,,
2006,111,,Pacific cod,21720,625,,,,,
2006,111,,Walleye pollock,21740,652,,,,,
2006,111,,Walleye pollock,21740,709,,,,,
